index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
103,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,40.0,07_사회복지 종교,직업상담
104,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,40.0,07_사회복지 종교,사회복지
105,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,07_사회복지 종교,직업상담
106,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,,07_사회복지 종교,사회복지
107,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,36.0,07_사회복지 종교,사회복지
108,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,07_사회복지 종교,직업상담
109,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,42.0,07_사회복지 종교,직업상담
110,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,44.0,07_사회복지 종교,직업상담
111,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,,07_사회복지 종교,사회복지
112,직업상담사2급 1차 필기과정,(주)조근혜 부설 대전직업상담사학원,30,706970,15,48.8,40.0,07_사회복지 종교,직업상담
113,직업상담사2급 자격증 취득,양산직업학교,70,3306520,30,58.8,38.0,07_사회복지 종교,직업상담
114,직업상담사2급 자격증 취득과정(이론+실기),에듀인능력개발원,40,1028320,20,36.5,47.0,07_사회복지 종교,직업상담
115,아이돌보미 양성,엘림평생교육원,10,248840,14,56.8,56.0,07_사회복지 종교,베이비시터
116,"직업상담사 2급 자격증 취득과정(1차,2차 통합)",휴먼평생직업교육학원,45,1156860,18,43.5,37.0,07_사회복지 종교,직업상담
117,"【 직업상담사2급 】자격증취득과정_직상2급(1차필기,2차실기)대비",이젠아카데미컴퓨터학원,50,1285400,20,36.6,38.0,07_사회복지 종교,직업상담
118,아이돌보미 양성,엘림평생교육원,10,248840,14,56.8,,07_사회복지 종교,베이비시터
119,산모신생아 건강관리사 양성,엘림평생교육원,15,373260,12,56.8,,07_사회복지 종교,건강관리
120,직업상담사 2급 취득(1차/2차),중앙직업전문학교,50,1285400,20,46.7,37.0,07_사회복지 종교,직업상담
121,베이비시터 양성,엘림평생교육원,10,264720,14,63.2,54.0,07_사회복지 종교,베이비시터
122,직업상담사 실무과정,(주)조근혜 부설 대전직업상담사학원,18,385620,15,48.8,32.0,07_사회복지 종교,직업상담
123,원샷원킬! 직업상담사2급 필기대비반,한국이러닝협회,56,303240,500,32.5,40.0,07_사회복지 종교,직업상담
124,Wowpass! 사회복지사 1급(사회복지실천) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,222750,500,32.3,35.0,07_사회복지 종교,사회복지
125,직업상담사 2급 한번에 끝내기 실기 과정,(사)한국디지털컨버전스협회,28,187110,500,29.3,,07_사회복지 종교,직업상담
126,Wowpass! 직업상담사 2급 필기 종합반(이론+문제풀이),한국이러닝협회,56,320760,500,32.5,27.0,07_사회복지 종교,직업상담
127,Wowpass! 직업상담사 2급 실기(필답형 완성반),한국이러닝협회,28,157410,500,32.5,50.0,07_사회복지 종교,직업상담
128,원샷원킬! 직업상담사2급 필기실기 종합반,한국이러닝협회,56,461890,500,32.5,43.0,07_사회복지 종교,직업상담
129,원샷원킬! 직업상담사2급 실기대비반,한국이러닝협회,28,166620,500,32.5,,07_사회복지 종교,직업상담
130,Wowpass! 사회복지사 1급(사회복지기초) 완벽 대비반(이론+문제풀이),한국이러닝협회,28,151470,500,32.3,32.0,07_사회복지 종교,사회복지
131,원샷원킬! 사회복지사1급 핵심이론+문제풀이,한국이러닝협회,56,459640,500,32.3,,07_사회복지 종교,사회복지
132,Wowpass! 사회복지사 1급(사회복지정책과제도) 완벽 대비반(이론+문제풀이),한국이러닝협회,56,279180,500,32.3,47.0,07_사회복지 종교,사회복지
133,직업상담사 2급 한번에 끝내기(필기/실기),(사)한국디지털컨버전스협회,56,531630,500,29.3,40.0,07_사회복지 종교,직업상담
134,"직업상담사2급 자격증취득과정(1,2차통합)",주안 직업상담사 전문학원,50,1285400,25,31.6,42.0,07_사회복지 종교,직업상담
135,"직업상담사2급 자격증 취득(2차,실기)",(주)한양능력개발원,19,482020,20,35.1,43.0,07_사회복지 종교,직업상담
136,"직업상담사2급 자격 취득과정(1,2차 통합)",(주)이룸리더십연구원 이룸리더십학원,45,1156860,20,33.3,43.0,07_사회복지 종교,직업상담
