index,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
935,게임 시스템 및 밸런스 기획자 양성과정,서울게임학원,129,2243160,20,58.9,25.0,08_문화 예술 디자인 방송,게임
936,이모티콘 및 게임 그래픽 제작 양성과정,서울게임아트학원,120,2243160,12,51.1,24.0,08_문화 예술 디자인 방송,게임
937,3D 유니티 활용 게임콘텐츠 제작 실무자 양성과정,국제직업전문학교,142,5420970,30,51.1,24.0,08_문화 예술 디자인 방송,게임
938,실내디자인 실무 양성과정(B),부산부경직업전문학교,80,3865600,20,61.5,29.0,08_문화 예술 디자인 방송,
939,디지털디자인(웹디자인/일러스트/포토샵),(주)허브컴퓨터회계아트학원,40,899040,14,45.3,36.0,08_문화 예술 디자인 방송,웹디자인
940,시각디자인을 활용한 컬러리스트 양성과정,창원직업전문학교,88,3427590,20,67.9,31.0,08_문화 예술 디자인 방송,시각디자인
941,"멀티미디어&영상편집(모션그래픽,프리미어,에프터이펙트)양성과정 H-3",그린컴퓨터아카데미 부산,107,5296350,20,39.7,25.0,08_문화 예술 디자인 방송,멀티미디어
942,"멀티미디어 콘텐츠 제작 (프리미어,에프터이펙트,C4D) 전문가 양성과정",그린컴퓨터아카데미,98,4361700,20,70.6,26.0,08_문화 예술 디자인 방송,멀티미디어
943,멀티미디어콘텐츠제작(스마트 앱&웹) 신규구직자 양성과정,그린컴퓨터아카데미,111,4984800,25,70.6,25.0,08_문화 예술 디자인 방송,멀티미디어
944,디자인 양성(포토샵+일러스트&그래픽실무),이노직업전문학교,35,786660,20,38.7,37.0,08_문화 예술 디자인 방송,포토샵
945,"시각디자인(포토샵, 일러스트, 인디자인, 옥외광고디자인) 양성과정",그린컴퓨터아트학원,103,3820920,20,51.3,27.0,08_문화 예술 디자인 방송,포토샵
946,(일반고) 시각디자인 실무 및 자격취득(컴퓨터그래픽운용스기능사),광주국제직업전문학교,81,3296500,20,53.3,,08_문화 예술 디자인 방송,시각디자인
947,멀티미디어콘텐츠제작,센텀직업전문학교,100,4984800,20,69.2,32.0,08_문화 예술 디자인 방송,멀티미디어
948,[일반고특화]시각디자이너(옥외광고&컴퓨터그래픽스운용기능사)양성과정,국제직업전문학교,91,3208470,25,69.4,17.0,08_문화 예술 디자인 방송,
949,"시각디자인(일러,포토,인디자인,GTQ자격증,컴퓨터그래픽스(실기))",이젠컴퓨터아트서비스학원,48,1348560,10,47.4,23.0,08_문화 예술 디자인 방송,시각디자인
950,웹디자인&그래픽운용기능사실기자격증,윤성회계캐드컴퓨터학원,40,1123800,15,40.5,,08_문화 예술 디자인 방송,웹디자인
951,(게임콘텐츠제작)게임그래픽디자이너양성(3D),부산예일직업전문학교,97,4797870,30,43.7,26.0,08_문화 예술 디자인 방송,게임
952,"시각영상편집디자인(일러스트,포토샵,프리미어,에펙,모션그래픽)양성과정",그린컴퓨터아카데미 부산,38,1067610,20,54.5,28.0,08_문화 예술 디자인 방송,포토샵
953,웹컨텐츠&모바일앱 디자인,세잔직업전문학교,109,4270440,20,53.1,28.0,08_문화 예술 디자인 방송,
954,스마트UI/UX웹디자인(웹퍼블리셔)취업과정 E-2,그린컴퓨터아카데미 부산,105,4270440,20,63.4,26.0,08_문화 예술 디자인 방송,웹디자인
955,[탑강] UX디자인 7가지 비밀,한국이러닝협회,40,149770,500,25.0,46.0,08_문화 예술 디자인 방송,
956,PhotoShop(포토샵) CC 한번에 끝내기,(사)한국디지털컨버전스협회,28,62370,500,41.0,35.0,08_문화 예술 디자인 방송,포토샵
957,업무에 통하는 일러스트+포토샵 CS6,사단법인 한국에듀테크산업협회,28,121770,500,33.3,39.0,08_문화 예술 디자인 방송,포토샵
958,쉽게 배우는 일러스트CC,(사)한국디지털컨버전스협회,28,62370,500,41.0,25.0,08_문화 예술 디자인 방송,
