,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
638,프리저브드플라워 양성과정,청플라워디자인학원,16,737680,15,,35,대전,서구
639,플라워샵 창업 및 구직양성과정,김정희플라워조경학원,24,1180000,20,42.5,31,대구,수성구
640,화훼장식 기능사 통합과정,관인미솔꽃조경학원,19,1195650,20,,,인천,서구
641,전통한지공예 상품제작 양성과정,현대공예산업직업전문학교,30,1434780,10,58.3,40,,
642,주얼리 캐드 기초 양성과정,윤쥬얼리학원,24,859040,9,40.6,29,서울,서초구
643,"[과정평가형]전자출판기능사 (일러스트, 포토샵, 인디자인)A",그린컴퓨터아트학원,97,2673810,20,75,27,충북,청주시
644,꽃다발포장 단기집중반,중앙평생교육학원,10,428550,12,18.4,31,대전,중구
645,"시각(편집)디자인(일러스트,포토샵)",이젠아카데미컴퓨터학원,32,1006080,25,,32,서울,영등포구
646,플라워샵 실무능력 향상과정,박예정x라채움 꽃 예술학원,22,701440,10,,32,부산,남구
647,플로리스트 취업 및 창업 실무과정,문릿꽃꽂이학원,24,956520,10,,33,서울,강남구
648,보석감별.감정 실무 과정,GIK보석·디자인전문직업학교,37,1999870,10,90,28,부산,부산진구
649,출판편집디자인 전문가 양성과정,더모션아카데미학원,64,2012160,20,,27,서울,마포구
650,화훼장식 기능사 국가자격증,문릿꽃꽂이학원,20,956520,10,,28,서울,강남구
651,가죽공예 소품&가방 실무자 양성과정,피렌체 가죽공예학원,13,717390,16,,38,인천,남동구
652,플로리스트 웨딩플라워 스타일링과정,메이필드호텔스쿨,26,621730,20,,40,서울,강서구
653,"출판편집디자인(일러스트,포토샵,인디자인)(B)",이젠아카데미평생교육원,111,4401600,20,84.8,27,서울,서초구
654,출판편집디자인,영천제일직업전문학교,100,4401600,20,72.2,36,경북,영천시
655,화훼장식기능사양성과정,예정플로랄디자인학원,20,1107960,20,50,45,대구,남구
656,화훼장식기능사 취득_201호,제이플로리스트학원,16,1020280,15,28.3,40,서울,서초구
657,플로리스트 구직양성 과정,쇼위플라워디자인직업전문학교,60,2869560,20,41,29,충남,천안시
658,"플립드러닝(출판)출판편집디자인(포토샵,일러스트,인디자인)(A)",인천 그린컴퓨터아카데미,80,4527360,20,82.4,24,인천,부평구
659,"편집디자인(포토샵,일러스트,인디자인)양성& GTQ그래픽기술자격취득 A",레브아트컴퓨터학원,50,1257600,20,,28,경기,고양시
660,플로리스트 양성,그린꽃예술학원,25,1195650,10,,,대전,중구
661,(가구설계제작) 짜맞춤가구제작 소목수양성,평창직업한옥학교,113,7005350,25,,48,강원,평창군
662,웨딩&파티 스타일링 양성과정,론다플라워아카데미학원,10,557970,10,,29,서울,관악구
663,국가자격증 화훼장식기능사 (이론+실기)취득과정,윤숙희플로리스트아카데미,30,1195650,10,,38,경북,포항시
664,웨딩*파티 플라워 연출기획,안단테꽃예술직업학교,14,769560,22,35.2,33,서울,강남구
665,화훼장식기능사 자격취득과정(이론+실기),안정플로리스트종합예술학원,30,1195650,10,52,34,전북,전주시
666,[과정평가형] 귀금속가공산업기사 자격취득과정(A),서면미리벌직업전문학교,135,7936110,25,60,34,부산,부산진구
667,"크로스미디어(영상편집,전자출판,eBook)디자인 A",(주)한국마이스터,94,4400760,15,66.7,31,전북,전주시
668,가구설계제작 양성과정,대구목공직업전문학교,180,11478240,20,74,35,대구,북구
669,"편집디자인입문(포토샵,일러스트,인디자인,GTQ자격,전자출판)",(주)허브컴퓨터회계아트학원,40,1006080,14,,31,서울,동대문구
670,화훼장식기능사실무 양성과정,진플라워아카데미학원,16,765210,12,32.3,33,경기,안산시
671,플라워샵취업창업,안단테꽃예술직업학교,20,1056520,22,35.2,31,서울,강남구
672,플로리스트 전문가 양성 심화과정(플로랄 스타일리스트),오면꽃예술학원,20,1400000,12,32.9,42,서울,마포구
673,플로리스트 취업&창업 실무 전문가 양성과정,수카꽃예술학원,24,1147820,12,,40,부산,동구
674,"플라워샵(꽃다발, 꽃바구니) 기초과정",꽃싸부플라워디자인전문학원,10,382600,13,,43,충남,천안시
675,화훼장식기능사 자격증 과정(실기),림스꽃예술학원,15,478260,20,25,40,전북,전주시
676,화훼장식기능사 자격증 과정(실기),림스꽃예술학원,10,478260,20,25,31,전북,전주시
677,꽃다발 꽃바구니 전문가 양성,이현꽃예술학원,14,496370,10,18.2,31,경기,군포시
678,점토공예 상품제작 양성과정,현대공예산업직업전문학교,100,2391300,10,58.3,41,,
