,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
732,인공지능서비스 개발자 과정 (NCS),스마트미디어인재개발원,106,11204060,25,86.4,27,광주,남구
733,자바웹프로그래밍개발자양성,(주)미래능력개발교육원,126,5810610,30,90.1,24,서울,성동구
734,UI/UX 적응형반응형 웹디자인&웹퍼블리셔B,하이미디어아카데미,119,6258600,20,69.6,28,서울,서초구
735,인공지능 기반의 빅데이터 분석 시스템 개발자 과정(B반),멀티캠퍼스,38,2908333,24,,24,서울,강남구
736,빅데이터 활용을 위한 DB관리 전문가 과정(A반),멀티캠퍼스,38,2908333,24,,24,서울,강남구
737,자바 알고리즘을 이용한 반응형 웹프로그래밍 전문가 과정(A반),멀티캠퍼스,38,2908333,24,,24,서울,강남구
738,자바(JAVA)를 활용한 풀스택 융합 SW개발자 양성과정(D),쌍용강북교육센터,110,5797440,24,74.4,25,서울,마포구
739,파이썬 기반 머신러닝 응용 웹 서비스개발 과정(A반),멀티캠퍼스,38,2908333,24,,24,서울,강남구
740,인공지능 기반의 빅데이터 분석 시스템 개발자 과정(A반),멀티캠퍼스,38,2908333,24,,23,서울,강남구
741,R과 Python을 활용한 빅데이터 분석 및 시각화 기획 과정(C반),멀티캠퍼스,57,4382166,24,,24,서울,강남구
742,웹퍼블리셔&프론트엔드 개발-디지털컨버전스,주식회사 이젠컴퓨터아카데미,98,5138640,20,73.5,25,서울,노원구
743,자바 알고리즘을 이용한 반응형 웹프로그래밍 전문가 과정(B반),멀티캠퍼스,38,2908333,24,,24,서울,강남구
744,R과 Python을 활용한 빅데이터 분석 및 시각화 기획 과정(D반),멀티캠퍼스,57,4382166,24,,24,서울,강남구
745,스마트한 세상! IoT & 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,92070,500,,60,서울,강남구
746,스크래치로 배우는 COS 2급(코딩활용능력평가),사단법인 한국에듀테크산업협회,28,62370,500,27.8,32,서울,강남구
747,스마트 콘텐츠 융합 응용SW 엔지니어 양성과정(16),KH정보교육원 강남지원,150,5929200,30,83.6,25,서울,강남구
748,SW(코딩) 교강사 양성과정,(사)한국디지털컨버전스협회,56,222750,500,30,,서울,영등포구
749,빅데이터를 활용한 IoT 시스템 개발,멀티캠퍼스,115,14326240,24,62.7,25,서울,강남구
750,"미래를 여는 힘, IoT & Windows10",사단법인 한국에듀테크산업협회,28,62370,500,,57,서울,강남구
751,자바스크립트(JavaScript) 프로그래밍,(사)한국디지털컨버전스협회,28,121770,500,30,24,서울,영등포구
752,빅데이터를 활용한 지능형웹(UI/UX) 개발자,한국직업전문학교,105,5533920,19,80.6,28,서울,구로구
753,서비스 산업 데이터를 활용한 빅데이터 분석 실무,멀티캠퍼스,115,14016200,24,53.1,25,서울,강남구
754,미래의 예측! 빅데이터와 사물인터넷(IoT),사단법인 한국에듀테크산업협회,28,68310,500,27.8,59,서울,강남구
755,"앱(App)의 새로운 바람, 타이젠(Tizen) 프로그래밍",사단법인 한국에듀테크산업협회,28,62370,500,27.8,22,서울,강남구
756,경영빅데이터분석사 2급 자격 취득하기,사단법인 한국에듀테크산업협회,28,71280,500,,52,서울,강남구
757,스마트한 세상 ! 유비쿼터스 IT,사단법인 한국에듀테크산업협회,28,62370,500,,,서울,강남구
758,COS PRO 2급 파이썬(전문코딩능력평가),사단법인 한국에듀테크산업협회,28,86130,500,27.8,34,서울,강남구
759,사례로 풀어보는 의사결정 - 빅데이터 활용,한국이러닝협회,30,92070,500,,33,서울,구로구
760,딥러닝 기반 AI 엔지니어링,멀티캠퍼스,115,13680400,24,62.7,26,서울,강남구
761,[렛유인] 취업의 핵심 - 4차 산업 혁명,한국이러닝협회,56,376690,500,,44,서울,구로구
