,과정명,학원명,기간,훈련비,정원,취업률,연령대
1447,쉽게 배우는 애프터이펙트,(사)한국디지털컨버전스협회,28,62370,500,,27
1448,쉽게 배우는 마야3D,(사)한국디지털컨버전스협회,28,62370,500,,35
1449,쉽게 배우는 일러스트CC,(사)한국디지털컨버전스협회,28,62370,500,41,25
1450,"(디지털디자인) 디지털(그래픽, 웹, 앱, 모바일)디자인 실무자 양성과정",삼성직업전문학교,97,4188920,25,71.2,34
1451,미래의 예측! 빅데이터 활용과 한 눈에 보는 인포그래픽,사단법인 한국에듀테크산업협회,28,62370,500,33.3,40
1452,"3D에코실내건축디자인(캐드,맥스,인테리어)",이젠컴퓨터아트서비스학원,120,3371400,20,65.2,26
1453,"영상편집&모션그래픽제작(프리미어,에펙)",부산더조은직업전문학교,48,1067610,20,43.8,32
1454,디자인편집과영상편집&유튜브영상제작,배움회계캐드컴퓨터학원,48,1067610,10,43.6,33
1455,"영상편집&모션그래픽제작(프리미어,에펙)",부산더조은직업전문학교,38,1067610,20,43.8,31
1456,(게임콘텐츠제작) 온라인게임 운영 및 프로그래밍 제작자 양성과정 (3),아텐츠게임아카데미,129,4822790,30,54.4,25
1457,디지털UIUX웹퍼블리셔디자인,라인컴퓨터아트학원,92,3933300,30,58.3,25
1458,3D프린팅 디자인 양성과정,재단법인 이찬 경북직업전문학교,119,3989490,20,67.9,28
1459,"[일반고특화]광고영상콘텐츠(촬영,편집,모션그래픽)제작",수원직업전문학교(구.경기남부직업전문학교),96,3934740,30,,
1460,3D프린터운용(CAD+3D모델링),동양직업전문학교,70,3146640,20,76.5,24
1461,(게임콘텐츠제작) 게임그래픽전문가 양성 A,국제컴퓨터아카데미,90,4486320,20,78.8,25
1462,마야(MAYA) 3D그래픽 애니메이션 양성과정,강남 그린컴퓨터아카데미,55,1900450,20,49.3,28
1463,『 디지털디자인 』 웹디자이너 & 웹퍼블리셔 양성과정 - UI/UX디자인,두드림컴퓨터아카데미,95,4270440,20,,25
1464,쇼핑몰제작실무과정(웹시각디자인),한빛정보직업전문학교,36,1011420,20,,45
1465,"(멀티미디어콘텐츠제작) 영상 (프리미어,에프터이펙트) 크리에이터 과정 4 G",강남 그린컴퓨터아카데미,142,5296350,30,41.4,26
1466,"디지털영상편집디자인 및 모션그래픽제작(포토샵,일러스트,프리미어,에펙)",(주)울산KH정보교육원,50,1123800,20,35.6,28
