,과정명,학원명,기간,훈련비,정원,취업률,연령대
1098,라떼아트 카페메뉴과정(바리스타1급자격증),고양커피학원,30,923520,18,32.7,44
1099,커피 바리스타 향상과정(라떼아트/카페음료/브루잉),한국제일요리커피학원,30,923520,10,36.8,38
1100,양식.중식조리기능사취득과정(이론+실기),기장정관음식나라조리학원,43,1291150,12,52.9,39
1101,중식및일식조리기능사(실기),동구음식나라조리학원,30,797470,8,45.9,37
1102,한식조리기능사 자격취득과정(이론/실기),한국제일요리커피학원,27,820260,20,46.4,44
1103,한식 조리실무(한정식 취업과정),한솔요리커피제과제빵아카데미,16,607600,16,50.6,40
1104,바리스타 중급(바리스타1급+라떼아트) 양성과정,위례커피학원,22,677240,18,,33
1105,바리스타카페취업반(바리스타2급+라떼아트+핸드드립+카페음료),한솔요리커피제과제빵학원,33,1015870,20,,31
1106,신입바리스타 양성(2급 자격증),에스씨요리학원,40,923520,12,31.3,35
1107,양식조리기능사 자격취득(실기)+중식조리기능사 자격취득(실기)과정,마스터요리학원,35,1063300,12,44.4,52
1108,한식조리기능사 자격증(이론+실기) 및 단체급식 실무과정,대전음식나라조리제과제빵학원,38,1154440,16,32.1,51
1109,양식 및 중식조리기능사실기,김희진 요리제과제빵바리스타 학원,42,956970,12,46.8,33
1110,한식조리기능사 자격 취득과정(이론+실기),김해영지요리직업전문학교,36,820260,15,50,28
1111,중식및일식조리기능사(실기),동구음식나라조리학원,30,797470,8,45.9,39
1112,"한식, 양식, 중식 자격증 취득과정(이론+실기)",해성요리제과제빵학원,62,1883560,12,49.4,45
1113,바리스타 2급 자격취득,신동경요리커피학원,20,615680,8,,46
1114,한식조리기능사 자격 취득과정(이론+실기),홍명요리학원,37,835450,20,,42
1115,바리스타 2급 취득,천안커피교육전문학원,20,461760,18,37.2,31
1116,양식카페퓨전브런치과정,한솔요리커피제과제빵아카데미,25,759500,20,50.6,47
1117,중급 바리스타 실무(라떼아트자격취득),커피문화원직업전문학교,26,800380,20,47.1,38
1118,한식조리기능사 취득과정(이론+실기),음식나라조리학원,25,759500,15,50.7,45
1119,바리스타 1급 자격증 취득반,궁전요리제빵직업전문학교,20,707840,18,46.8,31
1120,한식조리기능사 및 밥반찬조리실무과정,전주요리제과제빵학원,28,835450,12,62.2,47
1121,양식조리기능사 자격취득 과정(이론+실기),광양요리제과직업전문학교,36,820260,16,50,32
1122,커피바리스타와 카페브런치(바리스타2급자격증포함),경기외식직업전문학교,50,1539200,15,51.2,38
1123,중식조리기능사 취득과정,검단직업능력개발학원,27,607600,12,43.8,57
1124,"한식조리기능사자격증취득/이론,실기",동경요리바리스타학원,27,820260,20,55.4,42
1125,커피바리스타(2급)취득 및 카페베이커리,논현요리제과커피학원,31,954300,12,41,35
1126,한식조리기능사 자격증취득(이론과실기),민광숙요리학원,30,911400,16,42.3,40
1127,커피관리(바리스타) 양성과정,행복한커피앤요리학원,34,1292920,18,28.2,42
1128,한식조리기능사 자격 취득과정(이론+실기),홍천요리제과제빵학원,28,744310,16,,39
1129,일식조리기능사 취득(실기)과 실무과정,둔산음식나라조리제과커피학원,35,1050000,10,50.8,30
1130,양식 및 중식조리기능사 취득(이론+실기),다인요리전문학원,42,1275960,8,47.3,52
1131,커피바리스타(2급자격증 포함),경기외식직업전문학교,25,769600,15,51.2,39
1132,양식+중식조리기능사(이론+실기),신선생요리전문학원,50,1139250,12,50,41
1133,양식조리기능사 자격증 취득과정(이론+실기),국제평생교육원,28,835450,16,46.5,40
1134,커피 바리스타 입문(바리스타자격취득),커피문화원직업전문학교,30,923520,20,47.1,43
1135,커피바리스타2급자격증 취득 및 카페메뉴과정,목포서울요리커피바리스타학원,40,923520,10,,44
1136,커피 바리스타 양성 & 2급 자격증취득과정,한국정보교육원(구.경원직업전문학교),37,1139000,20,59.7,32
1137,커피바리스타 라떼아트,거제커피교육학원,23,369400,18,,40
1138,한식조리기능사취득-(이론+실기),기장요리학원,25,762800,10,46.9,46
1139,한식조리기능사 취득(이론+실기),다인요리전문학원,26,789880,8,47.3,55
1140,"한식,중식조리기능사 자격증 취득",히로토조리학원,42,1304440,11,,30
1141,한식조리기능사자격취득과정,(주)씨아이케이한국외식조리직업전문학교(CIK),37,835450,24,60.6,47
1142,"커피바리스타 실무자양성(2급자격증,라떼아트,핸드드립,메뉴)",일곡직업전문학원,45,1385280,12,70,45
1143,바리스타1급자격증취득,(주)한국외식조리직업전문학교,33,769600,20,54.6,35
1144,"[일반고특화]바리스타&제과제빵(바리스타 2급, 제과&제빵기능사)",(주)강림직업전문학교,173,8665920,18,100,17
1145,[일반고]양식조리기능사 자격 취득과정(이론+실기),(재)로이교육재단 경문실용전문학교,172,9140120,30,80,17
1146,(일반고)바리스타&디저트카페 실무과정(2급+1급자격),한주요리제과커피직업전문학교,162,8665920,16,51.7,17
1147,(일반고특화)한식조리기능사 취득 및 양식조리기능사 취득과정,한국호텔관광실용전문학교,171,8562900,30,79.6,17
1148,(일반고특화)전문조리인양성과정(한식조리기능사),고려IT직업전문학교,170,9079360,30,,17
1149,"[일반고특화] 카페브런치 & 조리(양식, 한식)기능사 취득",(재단법인)서울호서직업전문학교,165,8562900,30,27.3,17
1150,[일반고]한식조리기능사 자격 취득 과정(이론+실기),(재)로이교육재단 경문실용전문학교,172,9140120,30,80,17
1151,[일반고 특화] 바리스타 2급 자격 취득 및 카페브런치 실무 과정,서울현대직업전문학교,156,8665920,24,,17
1152,[일반고특화]바리스타2급 자격취득 및 베이킹마스터 양성과정,서울현대직업전문학교,156,8665920,30,,17
1153,(일반고특화)한식조리기능사 취득 및 중식조리기능사 취득과정,한국호텔관광실용전문학교,171,8562900,30,79.6,17
1154,(일반고특화)양식조리기능사 취득 및 유러피안요리전문가 양성과정,한국호텔관광실용전문학교,171,8562900,30,79.6,17
1155,(일반고특화)한식조리기능사 취득 및 파티요리연회사 양성과정,한국호텔관광실용전문학교,171,8562900,30,79.6,17
1156,양식조리기능사자격증취득과정(이론+실기),둔산요리학원,36,820260,12,48.7,36
1157,"조리기능사취득과정(한식,중식,일식,이론포함)",한솔요리학원,51,1599380,20,42.9,36
1158,양식조리기능사실기자격증대비반,한라조리직업전문학원,18,531650,15,45.6,41
1159,양식조리기능사자격 취득과정(이론+실기),한빛요리학원,34,774690,10,,39
1160,커피바리스타 1급 자격증 취득과정,간석마스터커피학원,33,761900,12,75,29
1161,한식조리 & 김치전문가 과정,동래요리학원,40,1215200,12,63,45
1162,양식조리기능사(이론+실기)취득과정,에듀셰프요리직업전문학교,26,698740,12,46.1,31
1163,한식조리기능사자격취득과정(이론+실기),(주)한국문화예술실용전문학교,36,820260,20,,42
1164,"출장뷔페,단체급식소 조리사 양성과정",한솔요리아카데미영등포,27,820260,20,32.4,53
1165,바리스타 구직자 양성과정6 (바리스타1급자격증+라떼아트+실무과정),챕터원커피바리스타학원,24,738810,12,,38
1166,한식조리기능사 취득과정(이론+실기),한양요리제빵직업전문학교,28,797470,16,57.6,41
1167,"양식조리사실무(파스타,브런치) 및 양식조리기능사자격증",히로토조리학원,40,1304480,11,,38
1168,커피바리스타2급자격증 취득 및 카페메뉴과정,목포서울요리커피바리스타학원,40,923520,12,,43
1169,한식조리기능사취득 및 밑반찬과정,논현요리제과커피학원,33,1002540,20,60,42
1170,"(일반고특화)한식,양식조리기능사취득 및 실무조리사양성과정",전통외식조리직업전문학교,160,8562900,20,61.5,17
1171,"(일반고특화)커피바리스타자격증(2급,1급)자격증취득및제빵기능사취득과정",한국호텔관광실용전문학교,171,8665920,30,58.2,17
1172,바리스타2급+홈카페마스터취득+커피음료제조,천안아산바리스타학원,20,615680,15,,30
1173,"(일반고)조리사 양성과정(한식,양식,중식 자격취득)",한주요리제과커피직업전문학교,161,8562900,20,56.9,17
1174,"(일반고 특화)한식조리사,전통요리실무과정",동양요리직업전문학교,163,8570490,20,88.9,17
1175,[일반고 특화] 한식 & 양식 조리 기능사 취득과정,애림직업전문학교,163,8562900,20,,17
1176,"(일반고특화)양식조리기능사 자격취득 및 양식,중식조리사 양성과정",계원예술대학교 부설 평생교육원,175,8562900,14,,17
1177,"[일반고특화] 한식&양식조리(한식조리기능사, 양식조리기능사)",(주)강림직업전문학교,173,8562900,24,72.5,17
1178,[일반고특화]바리스타2급&조주기능사 취득과정,서울현대직업전문학교,156,8665920,24,,17
1179,(일반고특화)커피바리스타자격증 취득 및 제과기능사 취득과정,한국호텔관광실용전문학교,171,8665920,30,58.2,17
1180,일식조리마스터과정,김영호일식조리학원,45,2050000,12,45.6,39
1181,바리스타 자격증 취득 및 양성반,(주)강원인재개발원,20,769600,16,55.8,37
1182,로스트마스터(로스팅)와 커피지도사1급(핸드드립) 자격취득과정,위례커피학원,25,769600,18,,29
1183,(이론+실기) 한식조리기능사 자격취득,뉴영남요리제과제빵아카데미,35,820260,10,52.4,43
1184,한식조리기능사 자격취득과정(이론+실기),대전YWCA여성인력개발센터,30,683550,20,56,46
1185,단체급식조리실무 양성과정,윤옥희요리직업전문학교,45,1025320,12,48.9,52
1186,"어린이급식,분식 조리사 양성반",한솔요리아카데미영등포,27,820260,12,32.4,48
1187,한식조리기능사 자격 취득과정(실기+필기),충북요리제과제빵전문학원,31,706330,14,,43
1188,중식조리 및 일식조리 기능사 자격취득(이론+실기),한솔요리학원종로3가점,34,1055320,15,48.8,41
1189,바리스타 양성 및 자격증 취득과정,군산명문요리직업전문학교,40,915820,12,53.4,38
1190,한식조리기능사취득,시흥여성인력개발센터,23,762580,12,57.7,49
1191,한식조리기능사 자격증 취득과정 (이론+실기),뉴브레인직업전문학교,18,554430,10,,48
1192,커피 바리스타 입문(바리스타자격취득),커피문화원강서지점바리스타학원,30,923520,20,,36
1193,한식조리사자격증(필기+실기)과 단체급식조리사 양성,은평여성인력개발센터,27,850260,20,52.8,52
1194,커피 바리스타 심화과정 (바리스타1급+커피지도사2급),경남커피교육학원,30,968520,14,46.9,38
1195,한식조리기능사자격증취득과정(필기+실기2회반복),한솔요리아카데미영등포,27,820260,27,32.4,41
1196,커피 바리스타 자격증 취득과정,The국제직업전문학교,38,1154400,15,35.6,37
1197,바리스타취업실무(카페메뉴+라떼아트+핸드드립),한솔요리아카데미 강동,27,665680,16,42.1,32
1198,한식조리사자격증(필기+실기)과 단체급식조리사 양성,은평여성인력개발센터,27,850260,20,52.8,53
1199,카페 브런치 실무자 양성과정,(주)한솔외식창업아카데미,30,911400,18,36.6,38
1200,중식조리기능사 자격증 취득과정(이론+실기),국제평생교육원,20,607600,16,46.5,35
1201,바리스타 자격증 취득과정(1급2급 이론+실기),제천제빵커피학원,37,1199000,18,79.1,45
1202,바리스타중급(바리스타1급+커피기계수리)양성과정,성북커피학원,28,861950,15,44.2,32
1203,커피바리스타(자격증)디저트실무자과정,한국외식제과직업전문학교,52,1600760,15,35.5,36
1204,반찬조리 찬모 실무자 양성과정,(주)한솔외식창업아카데미,40,1245200,20,36.6,50
