,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
419,배전담당 기술인력 양성과정,(주)대원전기교육원,63,3273500,30,64.7,27,충북,증평군
420,전기공사-2,한국전기공사협회 전기공사인재개발원,95,4582900,30,83.7,32,서울,강서구
421,전기공사(공동주택)실무과정,정인직업교육원,103,4713840,20,57.5,35,전북,전주시
422,3D프린터 운영자 신규 구직자 양성과정,부산광역시건설기술교육원,65,2778300,20,,38,부산,북구
423,전기기능사자격증취득(필기),청주한국전기학원,20,537960,22,50,36,충북,청주시
424,전기내선공사실무자양성(전기기능사취득)B,중랑직업전문학교,124,5630420,30,75.4,34,서울,중랑구
425,전기기능사 취득(필기),한국전기기술학원,45,589230,35,53.8,37,광주,북구
426,전기내선공사 및 전기기능사 취득 과정,(재)한국공업직업전문학교,117,4582900,30,75.7,39,,
427,전기기능사(자동제어) 취득 중급 과정,주식회사대양전기직업전문학교,84,4001130,20,71.4,37,서울,도봉구
428,전기공사 및 전기시설관리A[전기기능사 및 승강기 기능사 취득],서남직업전문학교,125,5695890,25,65.8,33,전남,목포시
429,(일반고특화)전기내선공사전문가양성과정(전기기능사),고려IT직업전문학교,170,7939130,30,80,17,경기,수원시
430,(일반고특화)전기내선공사 및 전기기능사 취득 양성과정,(주)동성직업전문학교,165,7493940,30,80.4,17,경기,수원시
431,[일반고특화] 전기기능사 양성 과정 A,한국능력개발직업전문학교,156,7493940,20,76.9,17,서울,영등포구
432,[일반고특화]스마트전기내선제어 및 전기기능사 취득,수원직업전문학교(구.경기남부직업전문학교),171,7939130,30,68.1,17,경기,수원시
433,전기공사 및 전기기능사,세종평생교육원,86,4497780,30,70.6,51,대구,북구
434,전기기능사(내선공사) 취득 중급 과정,대산전기직업전문학교,90,4124610,25,83.9,39,경기,고양시
435,전기공사실무,부산용접&전기직업학교,89,4648370,25,58.5,45,부산,부산진구
436,전기산업기사필기특강,부산한국전기학원,25,465370,30,,44,부산,부산진구
437,전기산업기사실기특강과정,한국전기학원,15,452820,30,61.3,41,대전,중구
438,"전기(외선,내선)기술인력양성",한국전기교육원,155,8118280,30,63.4,26,경북,경산시
439,전기기능사 필기,대전전기학원,30,589230,20,60,26,대전,중구
440,승강기기능사 자격취득과정 (실기과정),유캠퍼스김기남전기정보통신학원,24,471380,20,55.7,31,서울,영등포구
441,전기공사 및 전기기능사 자격취득 과정,영남기술직업전문학교,123,5630420,24,62.5,36,대구,달서구
442,전기기사취득(실기),베스트전기학원,20,654700,30,42.5,34,부산,부산진구
443,배전기술자양성,(주)경기전기교육원,70,3666320,30,71.3,26,경기,여주시
444,전기(산업)기사 취득과정[실기특강],안양대산전기기술학원,12,430360,33,80,33,경기,안양시
445,전기산업기사자격증(실기),부산한국전기학원,24,502600,30,,33,부산,부산진구
446,전기기능사 자격증취득과정(필기반),제일전기학원,40,785640,25,50,32,광주,북구
447,전기기능사 자격증취득과정(필기반),제일전기학원,40,785640,25,50,45,광주,북구
448,"3D프린터 운용 설계 제품디자인(캐드,맥스,모델링,3D프린터)",더조은컴퓨터아트학원,68,3333960,20,52.9,32,서울,강동구
449,전기(산업)기사취득(실기),한국전기학원,18,372300,20,,37,경남,창원시
450,전기기능사 자격취득과정 (필기과정),유캠퍼스김기남전기정보통신학원,24,471380,20,55.7,34,서울,영등포구
451,전기(산업)기사 취득(실기)과정,라이센스전기기술학원,14,500000,28,42.9,41,전북,전주시
452,전기(산업)기사자격증 실기특강반,제일전기직업전문학교,15,467920,48,37.1,39,경기,수원시
453,전기기능사 자격취득과정 (실기과정),유캠퍼스김기남전기정보통신학원,20,471380,20,55.7,36,서울,영등포구
454,전기내선공사,대한직업전문학교,125,4910250,20,,43,전북,군산시
455,전기(산업)기사 실기,수도전기직업전문학원,19,680880,25,53.5,35,서울,영등포구
456,전기기능사 취득(실기),대전전기학원,27,523760,17,60,26,대전,중구
457,전기 (산업)기사 취득 600,종로전기학원,96,3928200,24,57.1,41,서울,중구
458,[탑강] 전자기기기능사 필기,한국이러닝협회,28,136620,500,,,서울,구로구
459,[원패스] 전기기사 필기,사단법인 한국에듀테크산업협회,56,476550,500,60,60,서울,강남구
460,[렛유인] 반도체 전공별 취업완성 - 기계공학과,한국이러닝협회,56,459220,500,52.9,,서울,구로구
461,전기(산업)기사 취득 과정,수도직업전문학교,80,2032320,20,59.1,36,서울,영등포구
462,"[렛유인] 반도체 직무별 취업완성 - 소자, 설계 종합과정",한국이러닝협회,56,411870,500,52.9,25,서울,구로구
463,[원패스] 전기공사 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,111130,500,60,,서울,강남구
464,[올배움] 전자기사 필기 합격대비 과정,한국이러닝협회,28,233960,500,,,서울,구로구
465,"[렛유인] 디스플레이 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,28,228580,500,42.4,,서울,구로구
466,전기기능사자격취득실기,스마트전기학원,16,628510,20,75,38,대전,중구
467,"[렛유인] 반도체 직무별 취업완성 - 공정, 설비 종합과정",한국이러닝협회,56,511710,500,52.9,25,서울,구로구
468,[원패스] 전기공사기사 필기,사단법인 한국에듀테크산업협회,56,470610,500,60,,서울,강남구
469,[탑강] 전기자기학,한국이러닝협회,28,185770,500,48.4,,서울,구로구
470,[탑강] 전자산업기사 필기,한국이러닝협회,56,451100,500,,,서울,구로구
471,한번에 준비하여 합격하자! 전기기사(필기),한국이러닝협회,56,297000,500,48.4,41,서울,구로구
472,"[렛유인] 자동화 산업 공정과정 (인버터,PLC)",한국이러닝협회,28,66370,500,,33,서울,구로구
473,[원패스] 전기 기사/산업기사 실기,사단법인 한국에듀테크산업협회,28,90340,500,60,31,서울,강남구
474,[렛유인] 반도체 핵심 8대 공정 - 종합,한국이러닝협회,56,328650,500,52.9,22,서울,구로구
475,[탑강] 회로이론,한국이러닝협회,28,185770,500,48.4,,서울,구로구
476,"[렛유인] 반도체 완전 정복 - 직무, 전공 종합과정",한국이러닝협회,56,602640,500,52.9,24,서울,구로구
477,전기기능사 취득(실기특강),베스트전기학원,14,523760,20,42.5,37,부산,부산진구
478,전기기능사 취득(실기),한국전기기술학원,16,628510,35,53.8,36,광주,북구
479,전기기능사 실기,한국전기기술원,14,523760,17,47.3,44,서울,영등포구
480,전기기능사 취득(실기)-90,종로전기학원,14,589230,24,62.5,46,서울,중구
481,전기기능사 자격취득과정 (필기과정),유캠퍼스김기남전기정보통신학원,24,471380,20,55.7,47,서울,영등포구
482,전기기능사필기정규과정,한국전기학원,30,619230,24,61.3,38,대전,중구
483,전기기능사 실기,한국전기기술원,27,523760,17,47.3,40,서울,영등포구
484,전기기능사 취득,베스트전기학원,40,1309400,20,42.5,35,부산,부산진구
485,전기(산업)기사 필기과정,한국전기기술학원,50,1349550,60,,44,광주,북구
486,전기설비 내선공사 및 현장실무(전기기능사취득),(재)고려직업전문학교,88,4582900,25,69.6,39,서울,동작구
487,전기기능사실기특강과정,유성한국전기학원,25,704700,17,69.2,45,대전,유성구
488,전기기능사 취득(실기),대전전기학원,26,523760,17,60,37,대전,중구
489,전기공사 및 전기관리자 양성 A,영진직업전문학교,125,5695890,30,79.3,34,대구,동구
490,전기기능사자격증취득(실기),청주한국전기학원,18,616030,15,30,40,충북,청주시
491,"전기기능사(이론,실기)",수도전기직업전문학원,52,1361770,18,53.5,,서울,영등포구
492,전기기능사 실기 취득,모아소방전기학원,20,523760,23,78.6,46,서울,영등포구
493,전기기능사 실기 취득 과정,대산전기직업전문학교,21,628510,25,,49,경기,고양시
494,전기기능사(필기/실기)반-전기기능사자격증취득과정,신부산전기기술학원,30,982050,11,49,32,경남,창원시
495,실업자 전기기술 실무교육,디에스전기계장전문학원,40,1833160,20,,54,울산,동구
496,전기기능사 실기[전기기능사 취득],안양전기공과학원,27,523760,20,21.4,43,경기,군포시
497,전기기능사실기특강과정,유성한국전기학원,15,704700,17,69.2,48,대전,유성구
498,전기기사(산업) 필기특강,수도전기직업전문학원,26,785640,25,53.5,39,서울,영등포구
499,전기기능사필기정규과정,유성한국전기학원,30,619230,30,69.2,35,대전,유성구
500,전기(산업)기사 취득 필기과정,해동전기학원,17,457260,22,,35,울산,남구
501,전기기능사 실기[전기기능사 취득],안양전기공과학원,27,523760,20,21.4,53,경기,군포시
502,전기기능사 취득과정[실기],안양대산전기기술학원,20,523760,16,63.6,51,경기,안양시
503,전기산업기사자격취득필기,스마트전기학원,44,903480,20,75,49,대전,중구
504,전기기능사 실기 취득,모아소방전기학원,14,523760,23,78.6,46,서울,영등포구
505,전기기능사실기특강과정,한국전기학원,14,626130,16,61.3,44,대전,중구
506,전기내선공사,한국기술직업전문학교,125,5695890,20,,32,대구,동구
507,전기기능사 취득(실기) 90,종로전기학원,29,589230,24,62.5,43,서울,중구
