,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2
20,[주경야독] 취업으로 통하는 수질환경기사(필기),한국이러닝협회,56,175230,500,,28,서울,구로구
21,수질측정 및 분석사 양성과정,한국상하수도협회 부설 평생교육시설,80,5098200,30,73.4,24,서울,영등포구
22,광물자원개발생산 전문인력양성,한국광물자원공사(마이닝센터),64,5204570,20,67.4,38,전북,익산시
23,전기태양광설비 및 전기기능사 자격취득과정(A),영남기술직업전문학교,123,6166200,24,60.9,45,대구,달서구
24,산업안전(이론+실기)-자격증취득,영남직업전문학교,25,1183350,15,,31,경북,포항시
25,[주경야독] 취업으로 통하는 환경기능사(필기),한국이러닝협회,28,115830,500,,33,서울,구로구
26,[주경야독] 취업으로 통하는 수질환경기사(필기),한국이러닝협회,56,175230,500,,24,서울,구로구
27,[탑강] 침투비파괴검사기사 필기,한국이러닝협회,28,121770,500,,,서울,구로구
28,[탑강] 초음파비파괴검사기사 필기,한국이러닝협회,28,245040,500,,54,서울,구로구
29,신재생에너지 양성(태양광에너지+내선공사),new광주직업전문학교(북구),195,10038000,30,42.9,27,광주,북구
30,온실가스관리 전문인력 양성과정(장기),한국환경공단,81,5254800,30,31.2,27,인천,서구
31,[탑강] 초음파비파괴검사기사 필기,한국이러닝협회,28,245040,500,,,서울,구로구
32,[주경야독] 취업으로 통하는 환경기능사(필기),한국이러닝협회,28,115830,500,,29,서울,구로구
33,[탑강] 침투비파괴검사기사 필기,한국이러닝협회,28,121770,500,,,서울,구로구
34,[주경야독] 취업으로 통하는 수질환경기사(필기),한국이러닝협회,56,175230,500,,29,서울,구로구
35,가스산업기사 취득과정,금성기술직업전문학교,38,927600,10,,49,부산,부산진구
36,수질환경관리인 및 대기환경관리인 양성과정,중앙환경직업전문학교,80,4078560,29,85.8,31,대전,중구
37,환경컨설팅인 양성 및 대기환경기사 취득과정,신동성환경기술학원,58,2952950,20,64.5,27,서울,동작구
