,과정명,학원명,기간,훈련비,정원,취업률,연령대
151,소방설비(산업)기사전기필기,중앙소방안전학원,25,465670,60,57.1,
152,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,29
153,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,
154,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,46
155,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,
156,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,
157,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,
158,법률사무관리직원취업과정,대한법률학원,20,935900,50,81,
159,법률사무직원취업과정,에스앤에스로펌인사노무학원,23,922940,34,,32
160,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81,
161,소방설비(산업)기사(기계분야) 필기대비반,한국이러닝협회,56,291330,500,,
162,epass 소방설비기사 전기분야 [필기],한국이러닝협회,56,201960,500,,
163,[탑강] 알아두면 쓸모 있는 실무 특허법,한국이러닝협회,28,80340,500,,
164,법률사무원 취업과정,구미직업전문교육센터,18,936320,27,,
165,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,
166,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,26
167,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,,
168,법률사무관리직원취업과정,대한법률학원,20,935900,50,,
169,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,,
170,법률사무관리직원취업과정,대한법률학원,20,935900,50,,
