,과정명,학원명,기간,훈련비,정원,취업률,연령대
273,쇼핑몰구축운영(오픈마켓/스토어팜/마케팅),윤성회계캐드컴퓨터학원,40,1380800,15,26.3,37
274,주택관리사_공동주택관리실무,한국이러닝협회,30,92070,500,,
275,[원패스] 주택관리사 1차 민법,사단법인 한국에듀테크산업협회,28,235870,500,,48
276,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,
277,주택관리사 자격대비반(민법),한국이러닝협회,50,183470,500,,28
278,주택관리사_공동주택시설개론,한국이러닝협회,47,142560,500,,
279,[원패스] 주택관리사 2차 관계법규,사단법인 한국에듀테크산업협회,28,158650,500,,58
280,주택관리사 자격대비반(회계원리),한국이러닝협회,28,183470,500,,49
281,[원패스] 주택관리사 1차 시설개론,사단법인 한국에듀테크산업협회,28,204200,500,,53
282,주택관리사_주택관리관계법규,한국이러닝협회,40,121770,500,,
283,쇼핑몰(카페24+오픈마켓+스마트스토어) 관리자양성,고양여성인력개발센터,33,911320,20,60,45
284,전자상거래 디지털마케팅 및 PR 실무자 양성과정,도와세움 평생교육센터,36,2000000,38,,25
285,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,35
286,쇼핑몰 디자인 및 마케팅,노원여성인력개발센터,30,828480,18,,36
287,쇼핑몰 창업과 마케팅 (포토샵 / 카페24 / 블로그 / 상품촬영),수성컴퓨터학원,49,1380800,15,,38
288,"해외전자상거래전문가양성과정(아마존,이베이,카페24)",비전컴퓨터학원,31,1284140,15,,37
289,[원패스] 주택관리사 1차 기초,사단법인 한국에듀테크산업협회,28,128890,500,,49
