,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
6573,헤어실무(커트심화)과정,제일미용직업전문학교,20,905520,12,73.5,41.0,경남,통영시,12_미용숙박여행오락스포츠,헤어디자이너
6574,헤어미용 현장실무과정,이행숙뷰티아카데미,60,1552320,11,58.3,40.0,서울,강남구,12_미용숙박여행오락스포츠,헤어디자이너
6575,네일아트&드릴실무반,성심미용예술직업전문학교,32,827900,18,58.1,32.0,부산,부산진구,12_미용숙박여행오락스포츠,네일아트
6576,"미용사(피부)자격증 취득(필기, 실기)",인천직업전문학교,50,1940400,20,66.4,33.0,인천,미추홀구,12_미용숙박여행오락스포츠,피부관리사
6577,미용사(피부) 국가 자격증 취득과정,정용우미용전문학원,56,2166780,10,58.3,36.0,강원,춘천시,12_미용숙박여행오락스포츠,피부관리사
6578,일반고_헤어_미용(일반)자격증 취득,중앙직업전문학교,82,3952460,30,28.6,17.0,인천,남동구,12_미용숙박여행오락스포츠,헤어디자이너
6579,헤어 실무(헤어커트&드라이&펌)과정,비비에스미용예술직업전문학교,38,1228920,20,80.9,40.0,경북,포항시,12_미용숙박여행오락스포츠,헤어디자이너
6580,미용사(네일)취득과정,글로벌뷰티아카데미학원,70,1811040,12,43.5,30.0,대전,서구,12_미용숙박여행오락스포츠,네일아트
6581,헤어미용사 자격증과정,제일직업전문학교,80,2069760,16,41.7,34.0,전북,전주시,12_미용숙박여행오락스포츠,헤어디자이너
6582,미용사(일반)자격증취득과정,국제미용직업전문학교,80,2069760,12,77.7,36.0,전북,군산시,12_미용숙박여행오락스포츠,헤어디자이너
6583,피부미용자격증 취득과정,이행숙뷰티아카데미,60,1552320,14,58.3,27.0,서울,강남구,12_미용숙박여행오락스포츠,피부관리사
6584,헤어미용실무(남성컷&디자인펌),굿모닝뷰티아카데미학원,26,1264240,12,64.4,38.0,충북,청주시,12_미용숙박여행오락스포츠,헤어디자이너
6585,헤어커트실무반,인하직업전문학교,26,970200,20,77.9,43.0,인천,미추홀구,12_미용숙박여행오락스포츠,헤어디자이너
6586,[일반고 특화] 초급 헤어미용사 양성,감미화미용학원,82,3958930,30,67.3,,경남,김해시,12_미용숙박여행오락스포츠,헤어디자이너
6587,헤어커트 현장실무과정,주식회사에르모소뷰티직업전문학교,42,1086620,10,57.8,32.0,서울,마포구,12_미용숙박여행오락스포츠,헤어디자이너
6588,미용사(일반)자격증취득과정,제일미용직업전문학교,77,1992140,12,73.7,40.0,광주,북구,12_미용숙박여행오락스포츠,헤어디자이너
6589,메이크업미용사 자격증,일산에르모소직업전문학교,61,1571720,14,70.5,37.0,경기,고양시,12_미용숙박여행오락스포츠,헤어디자이너
6590,헤어미용자격증취득(속성),대전미용직업전문학교,62,1617000,14,37.2,36.0,대전,중구,12_미용숙박여행오락스포츠,헤어디자이너
6591,미용사(네일)국가자격증 취득과정,나레스트천안미용학원,72,1849840,16,57.8,26.0,충남,천안시,12_미용숙박여행오락스포츠,네일아트
6592,네일아트자격증과정,미앤지뷰티직업전문학원,63,1617000,15,60.0,32.0,전북,군산시,12_미용숙박여행오락스포츠,네일아트
6593,왁싱(제모) 실무과정,성심미용예술직업전문학교,20,517440,18,58.1,32.0,부산,부산진구,12_미용숙박여행오락스포츠,왁싱전문가
6594,헤어미용 실무 연구반,경기미용직업전문학교,40,1034880,10,58.7,31.0,경기,수원시,12_미용숙박여행오락스포츠,헤어디자이너
6595,미용사(네일) 실기과정,무궁화직업전문학교,70,1811040,20,53.2,27.0,대구,중구,12_미용숙박여행오락스포츠,네일아트
6596,미용사(네일) 국가기술자격 취득을 통한 네일관리사 취업,한성미용직업전문학교,46,2069760,20,72.9,32.0,서울,중랑구,12_미용숙박여행오락스포츠,네일아트
6597,헤어미용현장실무과정,(주)에르모소뷰티직업전문학교김포점,50,1293600,10,66.0,40.0,경기,김포시,12_미용숙박여행오락스포츠,헤어디자이너
6598,미용사(피부)자격증취득과정,무궁화미용직업전문학교,60,1940400,14,53.4,35.0,대구,달서구,12_미용숙박여행오락스포츠,피부관리사
