,Unnamed: 0,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS분야,과정
1430,2160,(게임콘텐츠) 2D&3D 게임그래픽제작 실무자 양성 과정,(주)하우온라인게임스쿨,117,5420970,20,42.0,,08_문화 예술 디자인 방송,게임
1431,2161,게임그래픽통합콘텐츠제작양성과정,시드학원,135,4205920,20,52.1,,08_문화 예술 디자인 방송,게임
1432,2162,반응형웹디자인&웹퍼블리셔 취업과정 D-2,그린컴퓨터아카데미 부산,95,4270440,20,63.4,,08_문화 예술 디자인 방송,디자인
1433,2165,시각디자인(일러스트&포토샵),더조은퍼스트컴퓨터바리스타학원,25,561900,20,35.2,,08_문화 예술 디자인 방송,디자인
1434,2166,스마트기기UIUX앱&웹디자인,더조은컴퓨터학원,95,4270440,20,66.2,,08_문화 예술 디자인 방송,디자인
1435,2167,편집(시각)디자인(포토샵+일러스트+GTQ자격증)과정,그린컴퓨터아카데미 신촌,38,1067610,20,53.7,,08_문화 예술 디자인 방송,디자인
1436,2168,컴퓨터그래픽스운용기능사 취득 (실기),남승화직업전문학교,25,561900,15,50.0,,08_문화 예술 디자인 방송,그래픽
1437,2169,"웹퍼블리셔 UI/UX웹디자인(웹표준,html5,css3,Javascript,J-Query) 양성과정",더조은컴퓨터아트학원,95,4270440,30,74.6,26.0,08_문화 예술 디자인 방송,디자인
1438,2170,ATC캐드마스터 1급 자격증 취득과정,남승화직업전문학교,20,449520,15,50.0,,08_문화 예술 디자인 방송,캐드
1439,2171,CAD 캐드실무능력평가(CAT) 2급 자격증,남승화직업전문학교,25,561900,15,50.0,,08_문화 예술 디자인 방송,CAD
1440,2172,"환경인테리어디자인(캐드,맥스,스케치업)",라인컴퓨터아트학원,98,4158060,25,58.3,32.0,08_문화 예술 디자인 방송,디자인
1441,2173,"UI/UX 웹디자인 실무자 양성(웹퍼블리셔,프론트엔드)(비)B",더조은컴퓨터아트학원,79,3859930,20,69.8,,08_문화 예술 디자인 방송,디자인
1442,2174,"컴퓨터그래픽 GTQ자격증과정(일러스트,포토샵)",이음컴퓨터디자인학원,50,842850,10,28.0,,08_문화 예술 디자인 방송,포토샵
1443,2176,"영상제작(영상편집, 모션그래픽, 영상촬영)양성 훈련 2",(재)한국아이티교육재단 한국IT아카데미 구로,98,4407480,30,69.2,,08_문화 예술 디자인 방송,영상
1444,2177,"포토샵&일러스트(기초부터실무)및 GTQ 취득과정(포토샵1급,일러스트1급)",신영진컴퓨터학원,54,899040,10,49.0,,08_문화 예술 디자인 방송,포토샵
1445,2178,디지털 웹디자인/웹퍼블리셔 [과정평가형 국가기술자격증 취득](A),이젠아카데미평생교육원,86,3539400,20,83.9,23.0,08_문화 예술 디자인 방송,디자인
