,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
93,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,,서울,영등포구,05_법률경찰소방교도국방,법률사무
94,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,,서울,영등포구,05_법률경찰소방교도국방,법률사무
95,"강제집행및회생파산,형사소송절차실무 법률사무원양성과정",국민법률세무교육원,21,936320,30,61.8,29.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
96,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,34.0,서울,서초구,05_법률경찰소방교도국방,법률사무
97,소방설비(산업)기사전기필기,중앙소방안전학원,25,465670,60,57.1,59.0,광주,서구,05_법률경찰소방교도국방,소방설비
98,소방시설관리사(필기+실기)취득 대비,모아소방전기학원,25,1100000,23,64.3,,서울,영등포구,05_법률경찰소방교도국방,소방시설
99,소방설비(산업)기사기계필기,중앙소방안전학원,24,447040,60,57.1,,광주,서구,05_법률경찰소방교도국방,소방설비
100,소장작성 및 회생파산 법률취업교육과정,중앙법률사무교육학원,16,641280,60,76.7,36.0,서울,서초구,05_법률경찰소방교도국방,법률취업
101,법률사무관리직원취업과정,대한법률학원,20,935900,50,81.0,,서울,영등포구,05_법률경찰소방교도국방,법률사무
102,회생파산 및 송무법률사무취업과정,대한법률학원,15,701400,47,81.0,,서울,영등포구,05_법률경찰소방교도국방,법률사무
103,소방설비기사/산업기사 필기반(전기분야-이론),대영소방전문학원,15,558810,60,58.3,,부산,북구,05_법률경찰소방교도국방,소방설비
104,법률사무직원 취업교육과정 (종합반),중앙법률사무교육학원,23,921840,60,76.7,,서울,서초구,05_법률경찰소방교도국방,법률사무
105,행정법률사무원취업양성과정,국민법률세무교육원,21,936320,30,61.8,29.0,서울,동대문구,05_법률경찰소방교도국방,법률사무
