,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
3046,요양보호사 자격 취득과정,안양벧엘요양보호사교육원,30,552000,30,60.9,,06_보건의료,요양보호사,,
3047,요양보호사 자격취득과정,마산여성인력개발센터(부설요양보호사교육원),50,552000,36,69.6,,06_보건의료,요양보호사,,
3048,"요양보호사 자격 취득과정 (주간, 야간)",다사랑요양보호사교육원,30,600000,37,53.3,,06_보건의료,요양보호사,,
3049,요양보호사 자격증 취득과정,남서울요양보호사교육원,30,500160,35,69.6,,06_보건의료,요양보호사,,
3050,요양보호사자격증취득,드림요양보호사교육원,30,641520,33,45.2,,06_보건의료,요양보호사,,
3051,요양보호사자격증취득과정,동부케어요양보호사교육원,30,600000,30,43.0,,06_보건의료,요양보호사,,
3052,요양보호사자격취득과정,백제요양보호사교육원,30,640080,30,42.6,,06_보건의료,요양보호사,,
3053,"요양보호사국가자격증취득과정(요양보호사,간병인)",남동요양보호사교육원,30,570000,40,51.5,63.0,06_보건의료,요양보호사,,
3054,요양보호사양성,제일요양보호사교육원,50,699840,40,43.5,55.0,06_보건의료,요양보호사,,
3055,요양보호사자격증 취득과정,새고려요양보호사교육원,30,600000,30,50.0,,06_보건의료,요양보호사,,
3056,요양보호사 자격 취득과정,포천요양보호사교육원,38,510000,35,50.0,,06_보건의료,요양보호사,,
3057,요양보호사자격증취득과정,새희망요양보호사교육원,30,580080,33,55.2,,06_보건의료,요양보호사,,
3058,요양보호사 자격 취득 과정,부모사랑요양보호사교육원,30,600000,40,50.0,,06_보건의료,요양보호사,,
3059,요양보호사 자격취득 양성과정(비NCS),목포요양보호사교육원,30,499920,40,64.8,,06_보건의료,요양보호사,,
3060,요양보호사 자격 취득과정 (사회복지사),진해간호요양보호사교육원,11,250000,30,35.5,44.0,06_보건의료,요양보호사,,
3061,요양보호사자격증 취득과정,행복나눔요양보호사교육원,30,504000,40,64.6,55.0,06_보건의료,요양보호사,,
3062,"요양보호사 자격증취득과정(주,야간)",아름다운세상만들기요양보호사교육원,30,540000,40,55.8,63.0,06_보건의료,요양보호사,,
3063,요양보호사 자격 취득과정,성신간호학원부설요양보호사교육원,30,600000,40,52.2,,06_보건의료,요양보호사,,
3064,요양보호사 자격 취득과정,참좋은요양보호사교육원,30,600000,40,45.7,,06_보건의료,요양보호사,,
3065,요양보호사 취득과정,광주역요양보호사교육원,33,600000,36,52.2,,06_보건의료,요양보호사,,
3066,요양보호사 자격취득과정,수원행복 요양보호사 교육원,30,480000,40,58.7,59.0,06_보건의료,요양보호사,,
3067,간호조무사 국가자격 취득반,수원탑수원역점간호학원,204,3746800,30,66.1,,06_보건의료,간호조무사,,
